經度,緯度,屋齡,面積,建物類型,用途,樓別/樓高,佈局,電梯,管理員,車位數量,價格,行政區,交易年份
120.72654971633455,24.25152069593115,2,48.41,住宅大樓(11層含以上有電梯),住家用,二層/十三層,3房2廳2衛,有,有,1,"17,450,000",豐原區,113
120.72962624367804,24.25430719550664,2,123.09,住宅大樓(11層含以上有電梯),住商用,"一層,二層,三層,四層,地下一層,見其他登記事項/十五層",3房3廳4衛,有,有,2,"32,680,000",豐原區,113
120.7248421366885,24.24416783803241,7,71.67,住宅大樓(11層含以上有電梯),商業用,"一層,見其他登記事項/十四層",,有,有,1,"24,500,000",豐原區,113
120.71827844485506,24.237636738550794,3,44.75,住宅大樓(11層含以上有電梯),住家用,十層/十一層,3房2廳1衛,有,有,1,"13,000,000",豐原區,113
120.7259685423324,24.237795240193716,7,45.40,住宅大樓(11層含以上有電梯),住家用,七層/十二層,3房2廳2衛,有,有,1,"14,080,000",豐原區,113
120.7239969558252,24.252509308135707,34,904.38,住宅大樓(11層含以上有電梯),商業用,二層/十四層,4衛,有,無,0,"193,000,000",豐原區,113
120.71813502109516,24.24910356765021,46,17.12,華廈(10層含以下有電梯),住商用,二層/八層,2房1廳1衛,有,有,0,"4,380,000",豐原區,113
120.72252135971024,24.251766225845174,27,62.84,住宅大樓(11層含以上有電梯),商業用,十三層/十三層,2房1廳2衛,有,有,0,"8,720,001",豐原區,113
120.7083263304278,24.24491359157442,43,58.15,透天厝,住商用,全/三層,4房1廳3衛,無,無,0,"15,000,000",豐原區,113
120.72490718526221,24.245973806801594,48,28.10,透天厝,住商用,全/二層,6房3廳5衛,無,無,0,"15,000,000",豐原區,113
120.72550422804845,24.23849868625264,39,34.50,透天厝,住家用,全/二層,4房2廳2衛,無,無,0,"15,610,000",豐原區,113
120.72236569241292,24.241815741342727,26,20.86,華廈(10層含以下有電梯),住家用,七層/九層,2房2廳1衛,有,有,0,"4,800,000",豐原區,113
120.70170031878807,24.248566602776947,31,29.56,住宅大樓(11層含以上有電梯),住家用,四層/十六層,3房2廳2衛,有,有,0,"6,000,000",豐原區,113
120.71471660297588,24.245241731514405,37,103.14,透天厝,住商用,全/四層,8房3廳6衛,無,無,0,"27,000,000",豐原區,113
120.72244823872796,24.2491566412409,34,30.20,透天厝,住家用,全/三層,4房2廳2衛,無,無,0,"7,100,000",豐原區,113
120.7432785945413,24.252940352818356,7,52.20,透天厝,住商用,全/三層,4房3廳5衛,無,無,0,"17,000,000",豐原區,113
120.7286340283245,24.24386765014523,31,39.77,公寓(5樓含以下無電梯),住家用,五層/五層,3房2廳2衛,無,有,1,"7,850,000",豐原區,113
120.72252135971024,24.251766225845174,27,36.65,住宅大樓(11層含以上有電梯),住家用,八層/十三層,3房2廳2衛,有,有,1,"7,800,000",豐原區,113
120.72252135971024,24.251766225845174,27,16.35,住宅大樓(11層含以上有電梯),住家用,十一層/十三層,1房1廳1衛,有,有,1,"3,850,000",豐原區,113
120.72621071576843,24.239664729491125,21,30.02,華廈(10層含以下有電梯),住家用,八層/八層,3房2廳1衛,有,有,1,"8,340,000",豐原區,113
120.70812606431602,24.242050950030194,30,40.55,住宅大樓(11層含以上有電梯),住家用,五層/十二層,3房2廳2衛,有,有,1,"9,500,000",豐原區,113
120.70768122820898,24.242799522609012,6,47.30,住宅大樓(11層含以上有電梯),住家用,六層/十五層,3房2廳2衛,有,有,1,"14,800,000",豐原區,113
120.7290631418717,24.250486841046275,20,45.11,住宅大樓(11層含以上有電梯),住家用,十一層/十三層,3房2廳2衛,有,有,1,"13,000,000",豐原區,113
120.71204141761989,24.239385757063552,,48.20,住宅大樓(11層含以上有電梯),住家用,九層/十二層,3房2廳2衛,有,有,1,"17,500,000",豐原區,113
120.72236569241292,24.241815741342727,26,38.99,華廈(10層含以下有電梯),住家用,七層/九層,3房2廳2衛,有,有,1,"9,500,000",豐原區,113
120.72213099177493,24.254663888778925,20,43.38,住宅大樓(11層含以上有電梯),住家用,十層/十四層,3房2廳2衛,有,有,1,"12,400,000",豐原區,113
120.7248421366885,24.24416783803241,7,52.79,住宅大樓(11層含以上有電梯),住家用,十二層/十四層,3房2廳2衛,有,有,1,"16,750,000",豐原區,113
120.72652595582153,24.239602094067063,25,51.71,華廈(10層含以下有電梯),住家用,五層/八層,3房2廳2衛,有,有,1,"12,500,000",豐原區,113
120.70853532724321,24.2439478726155,7,39.58,住宅大樓(11層含以上有電梯),住家用,二層/十二層,2房2廳2衛,有,有,1,"12,350,000",豐原區,113
120.71836746126378,24.264291125577437,1,43.38,住宅大樓(11層含以上有電梯),商辦用,"一層,二層,見其他登記事項/十一層",1房2廳2衛,有,有,1,"23,500,000",豐原區,113
120.72854348629944,24.244770421875685,21,36.76,華廈(10層含以下有電梯),住家用,八層/九層,3房2廳2衛,有,有,1,"10,500,000",豐原區,113
120.70878247685849,24.24352395885785,3,50.56,透天厝,住家用,全/三層,2房2廳2衛,無,無,0,"18,650,000",豐原區,113
120.72403905601604,24.25125432508391,51,27.35,透天厝,住家用,全/二層,3房1廳1衛,無,無,0,"4,850,000",豐原區,113
120.70012481475588,24.235904552893878,2,56.47,透天厝,住家用,全/三層,4房5廳5衛,有,無,0,"17,000,000",豐原區,113
120.71745932364902,24.256298599607295,56,26.37,透天厝,住家用,全/二層,4房2廳2衛,無,無,0,"12,900,000",豐原區,113
120.72088244826516,24.244639172367638,30,36.07,華廈(10層含以下有電梯),住家用,五層/九層,3房2廳2衛,有,有,0,"8,000,000",豐原區,113
120.71423419298893,24.24078039679038,1,99.86,透天厝,住家用,全/四層,7房3廳8衛,有,無,0,"38,000,000",豐原區,113
120.72847464048569,24.22152001108585,43,26.90,透天厝,住家用,全/二層,4房2廳2衛,無,無,0,"3,280,000",豐原區,113
120.70995539196404,24.243047668492128,55,25.23,透天厝,住家用,全/二層,4房2廳2衛,無,無,0,"5,880,000",豐原區,113
